date,average_price,PLU4046,PLU4225,PLU4770,amount_from_small_bags,amount_from_large_bags,amount_from_xlarge_bags,type,year,region_grouping,region,total_consumption
1/10/2016,1.08,122363,229930,15444,66490,12,0,conventional,2016,city,Sacramento,434239
1/3/2016,0.96,141162,301173,16054,53730,0,0,conventional,2016,city,Sacramento,512119
12/25/2016,0.89,118030,191755,14438,125661,22081,1766,conventional,2016,city,SanDiego,473731
12/18/2016,0.9,106000,161105,14145,115859,38952,1110,conventional,2016,city,SanDiego,437171
12/11/2016,0.81,139067,205743,14737,91917,53238,422,conventional,2016,city,SanDiego,505124
12/4/2016,0.85,214063,133319,15081,128682,6275,1724,conventional,2016,city,SanDiego,499144
11/27/2016,1.08,160596,108872,12510,98751,10626,936,conventional,2016,city,SanDiego,392291
11/20/2016,1.25,135338,120006,14499,85262,14193,385,conventional,2016,city,SanDiego,369683
11/13/2016,1.37,120524,126173,18445,74993,13258,435,conventional,2016,city,SanDiego,353828
11/6/2016,1.68,89365,128357,18570,46336,8804,868,conventional,2016,city,SanDiego,292300
10/30/2016,1.65,88975,119080,14742,41712,6337,95,conventional,2016,city,SanDiego,270941
10/23/2016,1.32,127392,119290,13216,91095,13110,1924,conventional,2016,city,SanDiego,366027
10/16/2016,1.27,133021,139616,14088,137002,16988,2653,conventional,2016,city,SanDiego,443368
10/9/2016,1.25,143508,142805,15433,150538,20262,500,conventional,2016,city,SanDiego,473046
10/2/2016,1.09,209856,131355,17066,159927,15812,785,conventional,2016,city,SanDiego,534801
9/25/2016,1.05,217680,136015,15809,182693,12821,1072,conventional,2016,city,SanDiego,566090
9/18/2016,1.18,147767,139189,12716,144314,11857,1354,conventional,2016,city,SanDiego,457197
9/11/2016,1.08,164685,144232,12611,161785,15188,55,conventional,2016,city,SanDiego,498556
9/4/2016,1.06,186261,164050,12126,177176,10942,201,conventional,2016,city,SanDiego,550756
8/28/2016,0.9,244514,145516,14632,204056,10855,468,conventional,2016,city,SanDiego,620041
8/21/2016,0.94,227978,127819,13817,194537,14380,99,conventional,2016,city,SanDiego,578630
8/14/2016,1.19,151195,164961,17325,149734,15842,0,conventional,2016,city,SanDiego,499057
8/7/2016,1.14,164926,168656,17490,163647,20237,0,conventional,2016,city,SanDiego,534956
7/31/2016,1.16,156893,167606,18152,156663,23324,40,conventional,2016,city,SanDiego,522678
7/24/2016,1.18,168729,168790,22672,147604,18132,730,conventional,2016,city,SanDiego,526657
7/17/2016,1.12,169871,161030,23096,144224,20475,871,conventional,2016,city,SanDiego,519567
7/10/2016,0.98,186259,204705,20783,171945,19130,1262,conventional,2016,city,SanDiego,604084
7/3/2016,1.04,182472,186674,29141,192454,20163,2102,conventional,2016,city,SanDiego,613006
6/26/2016,0.89,196596,163148,28460,189496,17484,734,conventional,2016,city,SanDiego,595918
6/19/2016,0.98,182110,160232,28934,183995,17443,1116,conventional,2016,city,SanDiego,573830
6/12/2016,0.88,216162,144196,26931,189262,19728,355,conventional,2016,city,SanDiego,596634
6/5/2016,0.83,242213,171999,31852,175832,39014,250,conventional,2016,city,SanDiego,661160
5/29/2016,0.92,183029,168420,32043,160356,31716,980,conventional,2016,city,SanDiego,576544
5/22/2016,0.78,157624,205497,20406,154279,30338,1205,conventional,2016,city,SanDiego,569349
5/15/2016,0.86,196230,169362,19468,133555,35092,0,conventional,2016,city,SanDiego,553707
5/8/2016,0.78,210276,194614,24706,82058,137623,226,conventional,2016,city,SanDiego,649503
5/1/2016,0.68,221162,221266,23603,57335,155615,233,conventional,2016,city,SanDiego,679214
4/24/2016,0.73,209423,193980,22783,128656,68644,0,conventional,2016,city,SanDiego,623486
4/17/2016,0.8,219231,155882,22416,199325,24495,0,conventional,2016,city,SanDiego,621349
4/10/2016,0.84,190244,158654,21394,175065,44338,0,conventional,2016,city,SanDiego,589695
4/3/2016,0.9,165482,148672,25761,136890,50311,0,conventional,2016,city,SanDiego,527116
3/27/2016,0.8,183067,162858,23077,180501,66078,0,conventional,2016,city,SanDiego,615581
3/20/2016,0.76,159593,189449,21445,228122,51305,0,conventional,2016,city,SanDiego,649914
3/13/2016,0.84,151220,139501,23806,203379,50048,0,conventional,2016,city,SanDiego,567954
3/6/2016,0.81,160581,156090,22298,218488,69940,0,conventional,2016,city,SanDiego,627397
2/28/2016,0.8,143189,144668,25138,201893,70805,0,conventional,2016,city,SanDiego,585693
2/21/2016,0.86,165757,159025,19780,206856,40780,0,conventional,2016,city,SanDiego,592198
2/14/2016,0.79,173875,140454,22030,161728,97328,0,conventional,2016,city,SanDiego,595415
2/7/2016,0.61,212981,302239,23695,292229,86518,0,conventional,2016,city,SanDiego,917662
1/31/2016,0.72,174250,192218,18037,219632,39190,0,conventional,2016,city,SanDiego,643327
1/24/2016,0.85,104832,157896,21607,238111,42191,0,conventional,2016,city,SanDiego,564637
1/17/2016,0.79,164565,190461,19124,141952,45611,0,conventional,2016,city,SanDiego,561713
1/10/2016,0.81,155538,153030,21523,144796,103723,0,conventional,2016,city,SanDiego,578610
1/3/2016,0.65,204145,256692,22617,138815,97480,0,conventional,2016,city,SanDiego,719749
12/25/2016,1.18,164596,462873,2526,52278,7460,295,conventional,2016,city,SanFrancisco,690028
12/18/2016,1.22,173910,401462,3063,52370,11824,889,conventional,2016,city,SanFrancisco,643518
12/11/2016,1.29,134468,447892,2862,58674,10579,955,conventional,2016,city,SanFrancisco,655430
12/4/2016,1.52,159831,310593,2250,67735,1144,1305,conventional,2016,city,SanFrancisco,542858
11/27/2016,1.75,118187,297883,2393,67676,1584,655,conventional,2016,city,SanFrancisco,488378
11/20/2016,1.89,120582,308964,2239,74502,1193,3272,conventional,2016,city,SanFrancisco,510752
11/13/2016,1.94,118821,308678,3208,74569,977,290,conventional,2016,city,SanFrancisco,506543
11/6/2016,2.07,109081,304926,3840,74025,103,529,conventional,2016,city,SanFrancisco,492504
10/30/2016,2.2,130025,285048,3399,57223,269,1972,conventional,2016,city,SanFrancisco,477936
10/23/2016,1.87,133677,178796,4817,89533,2967,2084,conventional,2016,city,SanFrancisco,411874
10/16/2016,1.99,141221,362859,7788,74349,3260,1059,conventional,2016,city,SanFrancisco,590536
10/9/2016,1.82,163265,409308,9772,89663,1055,20,conventional,2016,city,SanFrancisco,673083
10/2/2016,1.52,196086,421421,10627,101545,1167,1148,conventional,2016,city,SanFrancisco,731994
9/25/2016,1.43,210602,549378,7879,89785,1572,1330,conventional,2016,city,SanFrancisco,860546
9/18/2016,1.5,173635,549722,9254,75830,3098,2036,conventional,2016,city,SanFrancisco,813575
9/11/2016,1.43,222298,533968,11293,94339,692,143,conventional,2016,city,SanFrancisco,862733
9/4/2016,1.47,203090,552429,10837,82334,962,451,conventional,2016,city,SanFrancisco,850103
8/28/2016,1.38,258579,469333,13522,68675,990,1311,conventional,2016,city,SanFrancisco,812410
8/21/2016,1.28,311234,415962,24855,70853,857,1576,conventional,2016,city,SanFrancisco,825337
8/14/2016,1.03,266261,757101,31009,58400,900,1162,conventional,2016,city,SanFrancisco,1114833
8/7/2016,1.49,189862,463373,28988,70182,869,297,conventional,2016,city,SanFrancisco,753571
7/31/2016,1.52,185497,513372,42846,71154,948,688,conventional,2016,city,SanFrancisco,814505
7/24/2016,1.54,158291,527451,56350,72854,1014,1399,conventional,2016,city,SanFrancisco,817359
7/17/2016,1.46,200748,481291,43043,77461,106,1422,conventional,2016,city,SanFrancisco,804071
7/10/2016,1.4,249271,458731,43916,88916,689,1207,conventional,2016,city,SanFrancisco,842730
7/3/2016,1.41,202576,546096,54358,86921,946,1019,conventional,2016,city,SanFrancisco,891916
6/26/2016,1.5,194825,411086,55056,86438,1044,1106,conventional,2016,city,SanFrancisco,749555
6/19/2016,1.44,210316,459979,43427,85053,1080,1065,conventional,2016,city,SanFrancisco,800920
6/12/2016,1.45,228295,418904,48922,72937,1022,303,conventional,2016,city,SanFrancisco,770383
6/5/2016,1.35,278153,481324,53447,85119,698,414,conventional,2016,city,SanFrancisco,899155
5/29/2016,1.34,304281,462080,52674,70155,677,1203,conventional,2016,city,SanFrancisco,891070
5/22/2016,1.31,247489,416812,70754,80975,945,949,conventional,2016,city,SanFrancisco,817924
5/15/2016,1.37,201206,438490,61090,69781,1042,456,conventional,2016,city,SanFrancisco,772065
5/8/2016,1.06,259594,569012,49425,80879,886,1539,conventional,2016,city,SanFrancisco,961335
5/1/2016,0.99,355141,534187,39101,71485,899,414,conventional,2016,city,SanFrancisco,1001227
4/24/2016,1,313239,570670,55668,76195,884,769,conventional,2016,city,SanFrancisco,1017425
4/17/2016,1.39,209131,415099,76967,83707,901,618,conventional,2016,city,SanFrancisco,786423
4/10/2016,1.38,216994,399404,61242,85683,894,1435,conventional,2016,city,SanFrancisco,765652
4/3/2016,1.12,166177,546228,54167,82300,843,25,conventional,2016,city,SanFrancisco,849740
3/27/2016,1.47,167888,409136,46243,91907,831,16,conventional,2016,city,SanFrancisco,716021
3/20/2016,1.4,193704,416864,46190,81984,820,16,conventional,2016,city,SanFrancisco,739578
3/13/2016,1.41,192003,383558,52459,85203,726,53,conventional,2016,city,SanFrancisco,714002
3/6/2016,1.29,217966,441193,62392,94789,797,103,conventional,2016,city,SanFrancisco,817240
2/28/2016,1.29,238542,445285,39538,99966,746,16,conventional,2016,city,SanFrancisco,824093
2/21/2016,1.15,178439,509200,41240,70255,664,28,conventional,2016,city,SanFrancisco,799826
2/14/2016,1.34,200199,357790,39859,98394,688,28,conventional,2016,city,SanFrancisco,696958
2/7/2016,0.89,333064,858526,72546,90251,619,40,conventional,2016,city,SanFrancisco,1355046
1/31/2016,1.27,236161,431120,57835,79401,382,140,conventional,2016,city,SanFrancisco,805039
1/24/2016,1.05,115037,621996,41235,65971,166,12,conventional,2016,city,SanFrancisco,844417
1/17/2016,1.24,141713,474840,36600,79193,509,6,conventional,2016,city,SanFrancisco,732861
1/10/2016,1.21,144507,487615,41094,92023,601,0,conventional,2016,city,SanFrancisco,765840
1/3/2016,0.93,204501,593430,32340,88155,372,0,conventional,2016,city,SanFrancisco,918798
12/25/2016,1.17,64750,143842,205,265938,156,253,conventional,2016,city,Seattle,475144
12/18/2016,1.09,67731,132123,254,258720,216,279,conventional,2016,city,Seattle,459323
12/11/2016,0.88,69914,207214,401,529840,416,1619,conventional,2016,city,Seattle,809404
12/4/2016,1.23,75095,131323,197,324726,192,271,conventional,2016,city,Seattle,531804
11/27/2016,1.45,44831,120318,389,217343,183,206,conventional,2016,city,Seattle,383270
11/20/2016,1.41,56982,128919,271,260780,648,160,conventional,2016,city,Seattle,447760
11/13/2016,1.43,61375,152069,318,257996,284,826,conventional,2016,city,Seattle,472868
11/6/2016,1.43,58648,130209,529,256978,242,365,conventional,2016,city,Seattle,446971
10/30/2016,1.42,52131,108922,1018,205196,334,455,conventional,2016,city,Seattle,368056
10/23/2016,1.12,69252,212505,483,335968,320,1071,conventional,2016,city,Seattle,619599
10/16/2016,1.2,94033,146878,452,369371,7513,121,conventional,2016,city,Seattle,618368
10/9/2016,1.23,74612,138353,2177,309380,31923,429,conventional,2016,city,Seattle,556874
10/2/2016,0.89,73072,190566,3183,361895,287932,492,conventional,2016,city,Seattle,917140
9/25/2016,1.03,101293,130310,3243,304494,115511,575,conventional,2016,city,Seattle,655426
9/18/2016,1.03,121885,150307,2273,264786,46367,594,conventional,2016,city,Seattle,586212
9/11/2016,1,154068,167761,2713,319299,135,73,conventional,2016,city,Seattle,644049
9/4/2016,1.13,132309,141811,2493,286871,129,239,conventional,2016,city,Seattle,563852
8/28/2016,1.08,114777,174074,2494,300809,141,309,conventional,2016,city,Seattle,592604
8/21/2016,1.11,111363,140739,2503,350689,135,224,conventional,2016,city,Seattle,605653
8/14/2016,1.14,103908,158812,2368,326096,89,365,conventional,2016,city,Seattle,591638
8/7/2016,1.11,101061,192576,2584,322390,143,455,conventional,2016,city,Seattle,619209
7/31/2016,1.12,93422,157723,2599,341835,242,35,conventional,2016,city,Seattle,595856
7/24/2016,1.1,85460,163758,1555,329976,115,160,conventional,2016,city,Seattle,581024
7/17/2016,1.03,94220,165714,1624,378187,78,29,conventional,2016,city,Seattle,639852
7/10/2016,1.11,103864,163812,6528,354206,146,54,conventional,2016,city,Seattle,628610
7/3/2016,1.1,101636,179740,10771,371093,225,115,conventional,2016,city,Seattle,663580
6/26/2016,1.03,91565,174576,12226,359261,314,609,conventional,2016,city,Seattle,638551
6/19/2016,0.97,101860,193696,11488,369496,306,865,conventional,2016,city,Seattle,677711
6/12/2016,1.01,108550,178700,12433,365830,512,314,conventional,2016,city,Seattle,666339
6/5/2016,0.86,97147,262684,13269,478960,13578,707,conventional,2016,city,Seattle,866345
5/29/2016,0.87,92530,210395,10676,443122,14345,168,conventional,2016,city,Seattle,771236
5/22/2016,0.87,92634,212729,10454,324711,85149,388,conventional,2016,city,Seattle,726065
5/15/2016,0.83,87749,218296,12760,523712,1383,449,conventional,2016,city,Seattle,844349
5/8/2016,0.82,88762,334254,11094,552847,19203,1640,conventional,2016,city,Seattle,1007800
5/1/2016,0.82,91136,271005,11464,458041,25901,491,conventional,2016,city,Seattle,858038
4/24/2016,0.88,86999,222809,12051,429117,198,965,conventional,2016,city,Seattle,752139
4/17/2016,0.84,76011,252921,10372,511072,11420,656,conventional,2016,city,Seattle,862452
4/10/2016,0.93,125384,228654,9318,363375,150,1567,conventional,2016,city,Seattle,728448
4/3/2016,0.86,111242,191068,9773,480649,107,348,conventional,2016,city,Seattle,793187
3/27/2016,0.85,91025,192540,10624,486972,87,333,conventional,2016,city,Seattle,781581
3/20/2016,1.02,76059,193207,9182,317318,61,283,conventional,2016,city,Seattle,596110
3/13/2016,0.94,71767,189254,10518,440777,139,353,conventional,2016,city,Seattle,712808
3/6/2016,0.88,101164,203599,8333,468419,516,364,conventional,2016,city,Seattle,782395
2/28/2016,0.91,96853,180912,7587,451747,117,300,conventional,2016,city,Seattle,737516
2/21/2016,0.86,56523,215390,8476,474543,391,402,conventional,2016,city,Seattle,755725
2/14/2016,0.98,105339,152778,8216,326841,285,193,conventional,2016,city,Seattle,593652
2/7/2016,0.75,110676,347696,6322,573867,1573,822,conventional,2016,city,Seattle,1040956
1/31/2016,0.98,75853,190463,8910,390709,174,562,conventional,2016,city,Seattle,666671
1/24/2016,0.92,100315,253246,7344,363400,1683,90,conventional,2016,city,Seattle,726078
1/17/2016,0.94,155213,203618,8795,418855,2394,61,conventional,2016,city,Seattle,788936
1/10/2016,0.86,177584,272041,7553,374205,174,356,conventional,2016,city,Seattle,831913
1/3/2016,0.89,179152,290450,16135,327228,420,912,conventional,2016,city,Seattle,814297
12/25/2016,1.02,121219,62512,2502,72547,49563,0,conventional,2016,state,SouthCarolina,308343
12/18/2016,1.07,103487,56975,2551,62582,44095,0,conventional,2016,state,SouthCarolina,269690
12/11/2016,1.2,106629,42052,2564,60970,31340,0,conventional,2016,state,SouthCarolina,243555
12/4/2016,1.09,122449,64900,3039,56900,56729,23,conventional,2016,state,SouthCarolina,304040
11/27/2016,1.33,90091,40561,2813,65375,30153,78,conventional,2016,state,SouthCarolina,229071
11/20/2016,1.34,105061,37789,4950,65248,33444,423,conventional,2016,state,SouthCarolina,246915
11/13/2016,1.41,127839,40771,8260,42377,35957,85,conventional,2016,state,SouthCarolina,255289
11/6/2016,1.5,97078,42625,9364,39594,33718,0,conventional,2016,state,SouthCarolina,222379
10/30/2016,1.43,99127,45339,9096,40258,34173,0,conventional,2016,state,SouthCarolina,227993
10/23/2016,1.4,128649,52741,6749,42485,29823,0,conventional,2016,state,SouthCarolina,260447
10/16/2016,1.3,117958,64028,6112,49718,43424,0,conventional,2016,state,SouthCarolina,281240
10/9/2016,1.32,109192,56454,4236,57335,35548,0,conventional,2016,state,SouthCarolina,262765
10/2/2016,1.3,128825,66172,7204,63692,34973,138,conventional,2016,state,SouthCarolina,301004
9/25/2016,1.25,148998,68555,6100,73929,30142,0,conventional,2016,state,SouthCarolina,327724
9/18/2016,1.12,153617,62718,5941,75354,33919,0,conventional,2016,state,SouthCarolina,331549
9/11/2016,1.08,156751,59266,6695,94007,25095,74,conventional,2016,state,SouthCarolina,341888
9/4/2016,1.03,228636,60398,8325,89224,33339,5,conventional,2016,state,SouthCarolina,419927
8/28/2016,1.11,197155,48370,6800,82906,17067,0,conventional,2016,state,SouthCarolina,352298
8/21/2016,1.08,193878,58093,8868,104376,16333,0,conventional,2016,state,SouthCarolina,381548
8/14/2016,1.11,198570,67082,10231,86862,26894,0,conventional,2016,state,SouthCarolina,389639
8/7/2016,1.17,183406,59165,12579,83536,23895,45,conventional,2016,state,SouthCarolina,362626
7/31/2016,1.18,156886,67075,12941,83700,23134,755,conventional,2016,state,SouthCarolina,344491
7/24/2016,1.18,143275,81764,15148,71699,22357,2431,conventional,2016,state,SouthCarolina,336674
7/17/2016,1.17,144883,77242,14173,75310,24437,5,conventional,2016,state,SouthCarolina,336050
7/10/2016,1.08,168421,87043,21153,89946,22732,5,conventional,2016,state,SouthCarolina,389300
7/3/2016,0.95,214287,125503,20518,116583,38901,0,conventional,2016,state,SouthCarolina,515792
6/26/2016,1.07,150192,90300,18403,90997,17791,97,conventional,2016,state,SouthCarolina,367780
6/19/2016,0.97,211555,100653,20140,85875,31653,1867,conventional,2016,state,SouthCarolina,451743
6/12/2016,1.04,161172,80778,19782,73086,17293,5792,conventional,2016,state,SouthCarolina,357903
6/5/2016,0.94,186493,103324,16910,66829,37355,5257,conventional,2016,state,SouthCarolina,416168
5/29/2016,0.97,188093,120645,15040,63638,50673,3310,conventional,2016,state,SouthCarolina,441399
5/22/2016,1.04,135034,98568,6910,59372,40068,3624,conventional,2016,state,SouthCarolina,343576
5/15/2016,0.89,153126,137073,6162,69081,56332,502,conventional,2016,state,SouthCarolina,422276
5/8/2016,0.82,216508,132765,6507,95501,52833,36,conventional,2016,state,SouthCarolina,504150
5/1/2016,0.76,251274,163223,6282,100786,70399,0,conventional,2016,state,SouthCarolina,591964
4/24/2016,0.93,151185,146951,6258,61890,53782,0,conventional,2016,state,SouthCarolina,420066
4/17/2016,1.01,153726,109476,5465,67728,34296,0,conventional,2016,state,SouthCarolina,370691
4/10/2016,0.96,158605,126385,6057,57961,48983,0,conventional,2016,state,SouthCarolina,397991
4/3/2016,1.05,150247,97714,6435,63628,22540,0,conventional,2016,state,SouthCarolina,340564
3/27/2016,1.07,136388,91996,7331,61407,17903,0,conventional,2016,state,SouthCarolina,315025
3/20/2016,1.07,149730,94542,8317,60251,18691,0,conventional,2016,state,SouthCarolina,331531
3/13/2016,0.96,175359,127187,8979,65809,37605,6,conventional,2016,state,SouthCarolina,414945
3/6/2016,1.06,156335,90668,8138,52685,17962,0,conventional,2016,state,SouthCarolina,325788
2/28/2016,0.93,178407,112748,7039,53433,36114,0,conventional,2016,state,SouthCarolina,387741
2/21/2016,1.04,145774,82587,7362,49805,17127,0,conventional,2016,state,SouthCarolina,302655
2/14/2016,0.91,180058,81397,6594,50158,24498,0,conventional,2016,state,SouthCarolina,342705
2/7/2016,0.69,307136,151186,13084,61004,61341,11,conventional,2016,state,SouthCarolina,593762
1/31/2016,1.01,159089,88741,9167,38452,17007,0,conventional,2016,state,SouthCarolina,312456
1/24/2016,0.95,145617,92971,9677,43452,25315,0,conventional,2016,state,SouthCarolina,317032
1/17/2016,1.05,149490,74437,9610,42971,11090,0,conventional,2016,state,SouthCarolina,287598
1/10/2016,0.98,171276,76297,9960,42726,22176,0,conventional,2016,state,SouthCarolina,322435
1/3/2016,1.03,195470,64802,10726,39156,9075,0,conventional,2016,state,SouthCarolina,319229
12/25/2016,0.79,2676153,1320134,20053,1288632,301809,23261,conventional,2016,regional,SouthCentral,5630042
12/18/2016,0.72,2789696,1116482,15772,1144739,383504,33015,conventional,2016,regional,SouthCentral,5483208
12/11/2016,0.76,2633723,987150,18327,939912,435549,16546,conventional,2016,regional,SouthCentral,5031207
12/4/2016,0.76,3146436,1023317,18795,1039670,344664,11233,conventional,2016,regional,SouthCentral,5584115
11/27/2016,0.93,2342116,747939,14620,817185,133945,9043,conventional,2016,regional,SouthCentral,4064848
11/20/2016,1.06,2351203,871662,16553,735264,173418,2411,conventional,2016,regional,SouthCentral,4150511
11/13/2016,1.11,2338884,971219,22128,710489,180469,1488,conventional,2016,regional,SouthCentral,4224677
11/6/2016,1.16,2443877,789648,16495,771794,191201,1610,conventional,2016,regional,SouthCentral,4214625
10/30/2016,1.19,1917985,802090,19653,733102,242673,17633,conventional,2016,regional,SouthCentral,3733136
10/23/2016,1.09,2043311,1016611,20588,1228548,140925,27612,conventional,2016,regional,SouthCentral,4477595
10/16/2016,1.03,2588087,984551,18419,1088287,263848,24459,conventional,2016,regional,SouthCentral,4967651
10/9/2016,1,2650641,1376612,32867,1118453,222547,15473,conventional,2016,regional,SouthCentral,5416593
10/2/2016,1.01,2488199,1053486,17352,1091904,338402,17316,conventional,2016,regional,SouthCentral,5006659
9/25/2016,0.98,2674487,1129009,15831,1094937,409425,21148,conventional,2016,regional,SouthCentral,5344837
9/18/2016,0.86,3357771,1103971,16479,1446564,189482,16386,conventional,2016,regional,SouthCentral,6130653
9/11/2016,0.82,3652516,1003812,15093,1379670,173093,11895,conventional,2016,regional,SouthCentral,6236079
9/4/2016,0.78,3749549,1321332,18544,1488491,188923,35797,conventional,2016,regional,SouthCentral,6802636
8/28/2016,0.84,3166010,1144645,17936,1259358,142471,45304,conventional,2016,regional,SouthCentral,5775724
8/21/2016,0.87,3137489,1105902,25630,1245189,153644,14191,conventional,2016,regional,SouthCentral,5682045
8/14/2016,0.94,3062124,1103048,21617,1034295,157810,6142,conventional,2016,regional,SouthCentral,5385036
8/7/2016,0.93,3263107,1162455,24523,1035008,149412,13435,conventional,2016,regional,SouthCentral,5647940
7/31/2016,0.98,2925166,1026989,25255,969971,169617,13902,conventional,2016,regional,SouthCentral,5130900
7/24/2016,0.97,3073632,1095931,29835,1169825,105003,54250,conventional,2016,regional,SouthCentral,5528476
7/17/2016,0.94,2950117,1052371,44559,1297883,87850,16661,conventional,2016,regional,SouthCentral,5449441
7/10/2016,0.91,3069816,1012710,189692,1233355,92636,48251,conventional,2016,regional,SouthCentral,5646460
7/3/2016,0.91,3114587,1226469,522837,1398829,124716,107095,conventional,2016,regional,SouthCentral,6494533
6/26/2016,0.89,3148032,995500,425640,1226902,190503,59688,conventional,2016,regional,SouthCentral,6046265
6/19/2016,0.89,3271758,1118583,346244,1062854,167591,38505,conventional,2016,regional,SouthCentral,6005535
6/12/2016,0.85,3356664,1079764,423779,964900,307837,62341,conventional,2016,regional,SouthCentral,6195285
6/5/2016,0.83,3351333,1281792,355042,976198,325422,61615,conventional,2016,regional,SouthCentral,6351402
5/29/2016,0.8,3270603,1322066,347794,1034533,229576,35105,conventional,2016,regional,SouthCentral,6239677
5/22/2016,0.72,3128528,1539489,537748,1071647,348148,54763,conventional,2016,regional,SouthCentral,6680323
5/15/2016,0.73,3283251,1441163,459078,1146035,389114,9479,conventional,2016,regional,SouthCentral,6728120
5/8/2016,0.72,3666928,1367081,697833,1225103,315129,9813,conventional,2016,regional,SouthCentral,7281887
5/1/2016,0.71,3400699,1559296,398632,1215673,368205,10984,conventional,2016,regional,SouthCentral,6953489
4/24/2016,0.7,3348754,1465438,564146,1161264,346495,7804,conventional,2016,regional,SouthCentral,6893901
4/17/2016,0.71,3651444,1058770,617896,1124257,195845,8862,conventional,2016,regional,SouthCentral,6657074
4/10/2016,0.73,3665847,870524,556972,1124850,183289,12781,conventional,2016,regional,SouthCentral,6414263
4/3/2016,0.74,3321836,1083779,649669,896073,198722,4424,conventional,2016,regional,SouthCentral,6154503
3/27/2016,0.77,3137633,1507245,660825,951744,288346,7516,conventional,2016,regional,SouthCentral,6553309
3/20/2016,0.77,3064744,1411797,653142,882135,256004,8943,conventional,2016,regional,SouthCentral,6276765
3/13/2016,0.79,3228471,1083004,698857,731907,144962,6870,conventional,2016,regional,SouthCentral,5894071
3/6/2016,0.78,3596736,903361,390175,822317,128135,7418,conventional,2016,regional,SouthCentral,5848142
2/28/2016,0.77,3528192,930353,337160,791893,104430,6426,conventional,2016,regional,SouthCentral,5698454
2/21/2016,0.82,2872173,1020822,423920,658990,124052,8424,conventional,2016,regional,SouthCentral,5108381
2/14/2016,0.7,3382977,1416071,718464,662650,147944,21496,conventional,2016,regional,SouthCentral,6349602
2/7/2016,0.7,3823016,1930304,804558,756323,197395,94756,conventional,2016,regional,SouthCentral,7606352
1/31/2016,0.79,3003443,1462783,521213,623664,133279,105746,conventional,2016,regional,SouthCentral,5850128
1/24/2016,0.94,1193350,1530144,245809,705849,159610,63475,conventional,2016,regional,SouthCentral,3898237
1/17/2016,0.81,2836078,1756469,373210,621920,136802,11148,conventional,2016,regional,SouthCentral,5735627
1/10/2016,0.84,2683173,1900835,263562,656702,140938,2425,conventional,2016,regional,SouthCentral,5647635
1/3/2016,0.79,2512692,2024262,361424,682312,109448,3804,conventional,2016,regional,SouthCentral,5693942
12/25/2016,0.94,1449894,760830,5643,736767,767156,1812,conventional,2016,regional,Southeast,3722102
12/18/2016,0.96,1236271,729401,8173,670843,766286,2437,conventional,2016,regional,Southeast,3413411
12/11/2016,1.21,1055827,463051,4656,630164,492522,1916,conventional,2016,regional,Southeast,2648136
12/4/2016,0.99,1481392,851643,5134,644607,957516,1219,conventional,2016,regional,Southeast,3941511
11/27/2016,1.39,943433,459434,4791,509394,490243,903,conventional,2016,regional,Southeast,2408198
11/20/2016,1.38,1054588,480430,8082,592607,532646,2072,conventional,2016,regional,Southeast,2670425
11/13/2016,1.37,1219549,506555,13358,543744,535603,1080,conventional,2016,regional,Southeast,2819889
11/6/2016,1.44,1086704,508907,14548,432321,547444,1075,conventional,2016,regional,Southeast,2590999
10/30/2016,1.44,1006135,517368,14441,416179,545707,2721,conventional,2016,regional,Southeast,2502551
10/23/2016,1.43,1086334,625236,11469,435848,543597,2392,conventional,2016,regional,Southeast,2704876
10/16/2016,1.24,1219511,791522,10218,420581,790114,1084,conventional,2016,regional,Southeast,3233030
10/9/2016,1.37,1122505,657058,7240,516483,580236,1616,conventional,2016,regional,Southeast,2885138
10/2/2016,1.38,1267964,621971,10940,602428,602150,1500,conventional,2016,regional,Southeast,3106953
9/25/2016,1.32,1398880,588360,9606,691449,573139,4728,conventional,2016,regional,Southeast,3266162
9/18/2016,1.11,1501213,566389,9444,706832,617002,3118,conventional,2016,regional,Southeast,3403998
9/11/2016,1.08,1673305,497550,10178,791920,455459,3287,conventional,2016,regional,Southeast,3431699
9/4/2016,0.96,2776885,664440,12529,771445,574733,4248,conventional,2016,regional,Southeast,4804280
8/28/2016,1.11,1919441,610782,10303,738944,290856,9697,conventional,2016,regional,Southeast,3580023
8/21/2016,1.11,1923227,648952,13450,827155,276588,27515,conventional,2016,regional,Southeast,3716887
8/14/2016,1.09,2241425,738177,15287,745879,467642,22264,conventional,2016,regional,Southeast,4230674
8/7/2016,1.18,1628428,687208,18598,710560,328992,45540,conventional,2016,regional,Southeast,3419326
7/31/2016,1.18,1502915,710445,18938,724984,322569,49257,conventional,2016,regional,Southeast,3329108
7/24/2016,1.17,1485492,845297,21370,657021,314633,57919,conventional,2016,regional,Southeast,3381732
7/17/2016,1.15,1466379,813315,20302,705841,335919,66387,conventional,2016,regional,Southeast,3408143
7/10/2016,1.1,1599856,848789,29960,785437,322740,60087,conventional,2016,regional,Southeast,3646869
7/3/2016,0.91,2549453,1175339,30343,1031656,559976,86048,conventional,2016,regional,Southeast,5432815
6/26/2016,1.09,1630877,777463,26639,850212,280635,53538,conventional,2016,regional,Southeast,3619364
6/19/2016,0.94,2441553,936051,30691,699685,498429,59127,conventional,2016,regional,Southeast,4665536
6/12/2016,1.07,1757284,592433,30505,641109,295048,77332,conventional,2016,regional,Southeast,3393711
